Group_name_size,Byte_size,Number of files,Number of pairs in similarity results,NO. of pairs with similarity score equals 1,NO. of pairs with 0.95 <= similarity score < 1,NO. of pairs with 0.9 <= similarity score < .95,NO. of pairs with 0.8 <= similarity score < .9
group_63668_size_2,63668,2,1,0,0,0,0
group_305426_size_942,305426,942,863,1,0,0,0
group_536286_size_89,536286,89,75,0,0,0,0
group_474546_size_16,474546,16,12,0,0,0,0
group_201498_size_377,201498,377,341,0,0,0,0
group_151048_size_215,151048,215,195,0,0,0,0
group_321788_size_8,321788,8,6,0,0,0,0
group_285938_size_359,285938,359,319,0,0,0,0
group_106974_size_3,106974,3,2,0,0,0,0
group_125650_size_331,125650,331,291,0,0,0,0
group_208764_size_2,208764,2,1,0,0,0,0
group_246834_size_326,246834,326,302,0,0,0,0
group_54030_size_2,54030,2,1,0,0,0,0
group_75196_size_7,75196,7,5,0,0,0,0
group_447538_size_72,447538,72,65,0,0,0,0
group_310774_size_157,310774,157,138,0,0,0,0
group_347750_size_4,347750,4,3,0,0,0,0
group_439986_size_67,439986,67,59,0,0,0,0
group_56432_size_9,56432,9,8,0,0,0,0
group_169428_size_3,169428,3,2,0,0,0,0
group_175378_size_2009,175378,2009,1802,0,0,0,0
group_85096_size_5,85096,5,3,0,0,0,0
group_198968_size_2,198968,2,1,0,0,0,0
group_161134_size_2,161134,2,1,0,0,0,0
group_154006_size_3,154006,3,2,0,0,0,0
group_112394_size_2,112394,2,1,0,0,0,0
group_95792_size_5,95792,5,4,0,0,0,0
group_139198_size_4,139198,4,3,0,0,0,0
group_236380_size_24,236380,24,20,0,0,0,0
group_118994_size_231,118994,231,203,0,0,0,0
group_120766_size_2,120766,2,1,0,0,0,0
group_193522_size_437,193522,437,389,0,0,0,0
group_216024_size_2,216024,2,1,0,0,0,0
group_295764_size_3,295764,3,2,0,0,0,0
group_327538_size_257,327538,257,231,0,0,0,0
group_115164_size_2,115164,2,1,0,0,0,0
group_235478_size_3,235478,3,2,0,0,0,0
group_191434_size_2,191434,2,1,0,0,0,0
group_192778_size_2,192778,2,1,0,0,0,0
group_80320_size_7,80320,7,6,0,0,0,0
group_177460_size_54,177460,54,46,0,0,0,0
