Group_name_size,Byte_size,Number of files,Number of pairs in similarity results,NO. of pairs with similarity score equals 1,NO. of pairs with 0.95 <= similarity score < 1,NO. of pairs with 0.9 <= similarity score < .95,NO. of pairs with 0.8 <= similarity score < .9
group_45396_size_5,45396,5,3,0,0,0,0
group_165170_size_243,165170,243,212,0,0,0,0
group_320210_size_334,320210,334,299,2,0,0,0
group_312556_size_4,312556,4,3,0,0,0,0
group_123044_size_6,123044,6,5,0,0,0,0
group_397650_size_272,397650,272,233,0,0,0,0
group_63858_size_29,63858,29,24,0,0,0,0
group_306632_size_2,306632,2,1,0,0,0,0
group_343154_size_237,343154,237,209,0,0,0,0
group_237458_size_595,237458,595,526,0,0,0,0
group_181176_size_2,181176,2,1,0,0,0,0
group_56032_size_2,56032,2,1,0,0,0,0
group_226276_size_17,226276,17,14,0,0,0,0
group_260742_size_2,260742,2,1,0,0,0,0
group_179974_size_2,179974,2,1,0,0,0,0
group_44858_size_5,44858,5,4,0,0,0,0
group_467954_size_36,467954,36,32,0,0,0,0
group_452402_size_60,452402,60,54,0,0,0,0
group_151138_size_2,151138,2,1,0,0,0,0
group_248976_size_4,248976,4,3,0,0,0,0
group_74022_size_3,74022,3,2,0,0,0,0
group_237752_size_5,237752,5,3,0,0,0,0
group_114448_size_2,114448,2,1,0,0,0,0
group_290562_size_2,290562,2,1,0,0,0,0
group_95094_size_2,95094,2,1,0,0,0,0
group_123698_size_348,123698,348,304,0,0,0,0
group_392302_size_2,392302,2,1,0,0,0,0
group_97640_size_5,97640,5,4,0,0,0,0
group_132476_size_2,132476,2,1,0,0,0,0
group_71544_size_3,71544,3,2,0,0,0,0
group_151880_size_74,151880,74,63,0,0,0,0
group_194914_size_41,194914,41,35,0,0,0,0
group_147656_size_2,147656,2,1,0,0,0,0
group_331890_size_273,331890,273,244,0,0,0,0
group_89520_size_3,89520,3,2,0,0,0,0
group_114838_size_2,114838,2,1,0,0,0,0
group_118906_size_2,118906,2,1,0,0,0,0
group_77298_size_50,77298,50,40,0,0,0,0
group_137764_size_2,137764,2,1,0,0,0,0
group_461330_size_39,461330,39,33,0,0,0,0
group_112046_size_2,112046,2,1,0,0,0,0
group_141562_size_3,141562,3,2,0,0,0,0
group_296554_size_32,296554,32,27,0,0,0,0
group_243678_size_2,243678,2,1,0,0,0,0
group_113068_size_2,113068,2,1,0,0,0,0
group_143032_size_34,143032,34,29,0,0,0,0
group_320786_size_962,320786,962,881,0,0,0,1
group_63682_size_2,63682,2,1,0,0,0,0
group_158840_size_6,158840,6,5,0,0,0,0
group_353498_size_2,353498,2,1,0,0,0,0
group_221820_size_3,221820,3,2,0,0,0,0
group_82680_size_3,82680,3,2,0,0,0,0
group_225324_size_213,225324,213,187,0,0,0,0
group_435816_size_98,435816,98,90,0,0,0,0
group_158124_size_204,158124,204,181,0,0,0,0
group_331580_size_166,331580,166,145,0,0,0,0
group_130016_size_2,130016,2,1,0,0,0,0
group_82794_size_2,82794,2,1,0,0,0,0
group_21458_size_2,21458,2,1,0,0,0,0
group_315398_size_2,315398,2,1,0,0,0,0
group_107404_size_3,107404,3,2,0,0,0,0
group_311718_size_2,311718,2,1,0,0,0,0
group_57098_size_2,57098,2,1,0,0,0,0
group_213712_size_2,213712,2,1,0,0,0,0
group_243376_size_2,243376,2,1,0,0,0,0
group_112752_size_2,112752,2,1,0,0,0,0
group_265008_size_2,265008,2,1,0,0,0,0
group_109760_size_3,109760,3,2,0,0,0,0
group_362098_size_211,362098,211,187,0,0,0,0
group_219138_size_3,219138,3,2,0,0,0,0
group_60204_size_5,60204,5,4,0,0,0,0
group_250646_size_2,250646,2,1,0,0,0,0
group_156362_size_3,156362,3,2,0,0,0,0
group_34834_size_10,34834,10,9,0,0,0,0
group_420818_size_119,420818,119,100,0,0,0,0
group_99772_size_5,99772,5,3,0,0,0,0
group_207686_size_3,207686,3,2,0,0,0,0
group_104264_size_2,104264,2,1,0,0,0,0
group_42134_size_2,42134,2,1,0,0,0,0
group_280364_size_62,280364,62,54,0,0,0,0
group_131946_size_381,131946,381,338,0,0,0,0
group_345202_size_182,345202,182,163,0,0,0,0
group_150746_size_2,150746,2,1,0,0,0,0
group_149884_size_2,149884,2,1,0,0,0,0
group_207630_size_2,207630,2,1,0,0,0,0
group_93462_size_2,93462,2,1,0,0,0,0
group_51848_size_2,51848,2,1,0,0,0,0
group_260306_size_314,260306,314,291,0,0,0,0
group_186386_size_279,186386,279,255,0,0,0,0
group_213758_size_2,213758,2,1,0,0,0,0
group_102742_size_4,102742,4,3,0,0,0,0
group_184754_size_285,184754,285,257,0,0,0,0
group_316006_size_3,316006,3,2,0,0,0,0
group_404916_size_2,404916,2,1,0,0,0,0
group_225702_size_2,225702,2,1,0,0,0,0
group_262814_size_76,262814,76,66,0,0,0,0
group_87538_size_461,87538,461,412,0,0,0,0
group_89916_size_70,89916,70,61,0,0,0,0
group_191266_size_2,191266,2,1,0,0,0,0
group_224670_size_2,224670,2,1,0,0,0,0
group_94498_size_2,94498,2,1,0,0,0,0
group_104662_size_3,104662,3,2,0,0,0,0
group_599314_size_67,599314,67,60,0,0,0,0
group_45118_size_3,45118,3,2,0,0,0,0
group_182012_size_2,182012,2,1,0,0,0,0
group_68288_size_2,68288,2,1,0,0,0,0
group_186216_size_3,186216,3,2,0,0,0,0
group_453810_size_267,453810,267,242,0,0,0,0
group_75770_size_4,75770,4,3,0,0,0,0
group_183118_size_3,183118,3,2,0,0,0,0
group_295138_size_8,295138,8,7,0,0,0,0
group_69394_size_45,69394,45,39,0,0,0,0
group_139826_size_131,139826,131,117,0,0,0,0
group_95590_size_3,95590,3,2,0,0,0,0
group_158762_size_3,158762,3,2,0,0,0,0
group_146826_size_3,146826,3,2,0,0,0,0
group_377702_size_2,377702,2,1,0,0,0,0
group_198352_size_5,198352,5,4,0,0,0,0
group_539036_size_2,539036,2,1,0,0,0,0
group_448338_size_67,448338,67,55,0,0,0,0
group_494354_size_2,494354,2,1,0,0,0,0
group_95914_size_4,95914,4,3,0,0,0,0
group_123828_size_2,123828,2,1,0,0,0,0
group_378214_size_2,378214,2,1,0,0,0,0
group_141820_size_2,141820,2,1,0,0,0,0
group_188718_size_3,188718,3,2,0,0,0,0
group_89788_size_5,89788,5,4,0,0,0,0
group_120948_size_2,120948,2,1,0,0,0,0
group_375602_size_160,375602,160,145,0,0,0,0
group_376680_size_6,376680,6,5,0,0,0,0
group_93104_size_3,93104,3,2,0,0,0,0
group_174870_size_3,174870,3,2,0,0,0,0
group_359330_size_2,359330,2,1,0,0,0,0
group_302682_size_28,302682,28,22,0,0,0,0
group_147696_size_7,147696,7,6,0,0,0,0
group_52816_size_3,52816,3,2,0,0,0,0
group_165626_size_3,165626,3,2,0,0,0,0
group_35496_size_3,35496,3,2,0,0,0,0
group_205618_size_384,205618,384,345,0,0,0,0
group_179894_size_3,179894,3,2,0,0,0,0
group_592664_size_2,592664,2,1,0,0,0,0
group_72608_size_3,72608,3,2,0,0,0,0
group_474514_size_29,474514,29,24,0,0,0,0
group_140690_size_185,140690,185,166,0,0,0,0
group_58022_size_3,58022,3,2,0,0,0,0
group_42892_size_3,42892,3,2,0,0,0,0
group_122470_size_3,122470,3,2,0,0,0,0
group_341138_size_373,341138,373,331,0,0,0,0
group_191288_size_2,191288,2,1,0,0,0,0
group_45198_size_3,45198,3,2,0,0,0,0
group_234856_size_2,234856,2,1,0,0,0,0
group_95602_size_87,95602,87,73,0,0,0,0
group_62494_size_2,62494,2,1,0,0,0,0
group_305016_size_2,305016,2,1,0,0,0,0
group_86302_size_6,86302,6,4,0,0,0,0
group_175496_size_3,175496,3,2,0,0,0,0
group_91052_size_2,91052,2,1,0,0,0,0
group_34924_size_2,34924,2,1,0,0,0,0
group_277618_size_349,277618,349,312,0,0,0,0
group_100260_size_5,100260,5,4,0,0,0,0
group_118958_size_7,118958,7,6,0,0,0,0
group_201552_size_2,201552,2,1,0,0,0,0
group_343726_size_5,343726,5,4,0,0,0,0
group_482706_size_8,482706,8,7,0,0,0,0
group_182602_size_2,182602,2,1,0,0,0,0
group_71988_size_2,71988,2,1,0,0,0,0
group_404978_size_118,404978,118,101,0,0,0,0
group_485308_size_115,485308,115,104,0,0,0,0
group_427262_size_2,427262,2,1,0,0,0,0
group_259392_size_3,259392,3,2,0,0,0,0
group_112872_size_3,112872,3,2,0,0,0,0
group_141060_size_2,141060,2,1,0,0,0,0
group_58642_size_2486,58642,2486,2117,3,0,0,0
group_177484_size_2,177484,2,1,0,0,0,0
group_349038_size_217,349038,217,196,0,0,0,0
group_211134_size_2,211134,2,1,0,0,0,0
group_104218_size_3,104218,3,2,0,0,0,0
group_166226_size_209,166226,209,188,0,0,0,0
group_343318_size_2,343318,2,1,0,0,0,0
group_108976_size_2,108976,2,1,0,0,0,0
group_293170_size_330,293170,330,291,0,0,0,0
group_49586_size_45,49586,45,37,0,0,0,0
group_171164_size_508,171164,508,449,0,0,0,0
group_192114_size_266,192114,266,243,0,0,0,0
group_265002_size_10,265002,10,9,0,0,0,0
group_276808_size_2,276808,2,1,0,0,0,0
group_234650_size_14,234650,14,11,0,0,0,0
group_65736_size_2,65736,2,1,0,0,0,0
group_146284_size_4,146284,4,3,0,0,0,0
group_157586_size_208,157586,208,185,0,0,0,0
group_64094_size_2,64094,2,1,0,0,0,0
group_68770_size_2,68770,2,1,0,0,0,0
group_185650_size_286,185650,286,257,0,0,0,0
group_234214_size_129,234214,129,112,0,0,0,0
group_280168_size_475,280168,475,423,0,0,0,0
group_83416_size_93,83416,93,79,0,0,0,0
group_111346_size_245,111346,245,220,0,0,0,0
group_104214_size_884,104214,884,777,0,0,0,0
group_231146_size_2,231146,2,1,0,0,0,0
group_182822_size_3,182822,3,2,0,0,0,0
group_218958_size_3,218958,3,2,0,0,0,0
group_240208_size_2,240208,2,1,0,0,0,0
group_599446_size_58,599446,58,52,0,0,0,0
group_208416_size_2,208416,2,1,0,0,0,0
group_120260_size_2,120260,2,1,0,0,0,0
group_453288_size_2,453288,2,1,0,0,0,0
group_99416_size_3,99416,3,2,0,0,0,0
group_118244_size_2,118244,2,1,0,0,0,0
group_80342_size_2,80342,2,1,0,0,0,0
group_33918_size_4,33918,4,3,0,0,0,0
group_114078_size_3,114078,3,2,0,0,0,0
group_264882_size_303,264882,303,277,0,0,0,0
group_99068_size_2,99068,2,1,0,0,0,0
group_223130_size_2,223130,2,1,0,0,0,0
group_492818_size_179,492818,179,159,0,0,0,0
group_134444_size_3,134444,3,2,0,0,0,0
group_312520_size_5,312520,5,3,0,0,0,0
group_333810_size_227,333810,227,210,0,0,0,0
group_138320_size_4,138320,4,3,0,0,0,0
group_33608_size_5,33608,5,4,0,0,0,0
group_117466_size_2,117466,2,1,0,0,0,0
group_168062_size_3,168062,3,2,0,0,0,0
group_100862_size_2,100862,2,1,0,0,0,0
group_53214_size_2,53214,2,1,0,0,0,0
group_281170_size_339,281170,339,305,0,0,0,0
group_133410_size_3,133410,3,2,0,0,0,0
group_137672_size_4,137672,4,2,0,0,0,0
group_63584_size_4,63584,4,3,0,0,0,0
group_152096_size_2,152096,2,1,0,0,0,0
group_170018_size_4,170018,4,3,0,0,0,0
group_100466_size_94,100466,94,80,0,0,0,0
group_251696_size_3,251696,3,2,0,0,0,0
group_342648_size_4,342648,4,3,0,0,0,0
group_110394_size_6,110394,6,4,0,0,0,0
group_52232_size_3,52232,3,2,0,0,0,0
group_242860_size_2,242860,2,1,0,0,0,0
group_188070_size_2,188070,2,1,0,0,0,0
group_104598_size_8,104598,8,7,0,0,0,0
group_202784_size_2,202784,2,1,0,0,0,0
group_364830_size_2,364830,2,1,0,0,0,0
group_56498_size_78,56498,78,65,0,0,0,0
group_151168_size_8,151168,8,7,0,0,0,0
group_165820_size_1660,165820,1660,1500,0,0,0,0
group_146462_size_3,146462,3,2,0,0,0,0
group_324530_size_237,324530,237,210,0,0,0,0
group_290680_size_4,290680,4,3,0,0,0,0
group_102686_size_2,102686,2,1,0,0,0,0
group_211124_size_4,211124,4,3,0,0,0,0
group_181574_size_3,181574,3,2,0,0,0,0
group_634106_size_2,634106,2,1,0,0,0,0
group_73384_size_3,73384,3,2,0,0,0,0
group_409078_size_2,409078,2,1,0,0,0,0
group_183128_size_4,183128,4,2,0,0,0,0
group_151634_size_183,151634,183,167,0,0,0,0
group_159418_size_2,159418,2,1,0,0,0,0
group_221610_size_209,221610,209,192,0,0,0,0
group_325968_size_2,325968,2,1,0,0,0,0
group_384614_size_7,384614,7,6,0,0,0,0
group_178694_size_2,178694,2,1,0,0,0,0
group_259108_size_2,259108,2,1,0,0,0,0
group_373262_size_2,373262,2,1,0,0,0,0
group_104344_size_3,104344,3,2,0,0,0,0
group_68890_size_2,68890,2,1,0,0,0,0
group_621030_size_2,621030,2,1,0,0,0,0
group_518732_size_2,518732,2,1,0,0,0,0
group_56218_size_4,56218,4,3,0,0,0,0
group_117242_size_2,117242,2,1,0,0,0,0
group_198386_size_460,198386,460,409,0,0,0,0
group_174122_size_3,174122,3,2,0,0,0,0
group_120834_size_7,120834,7,5,0,0,0,0
group_244940_size_5,244940,5,3,0,0,0,0
group_281666_size_14,281666,14,12,0,0,0,0
group_90218_size_3,90218,3,2,0,0,0,0
group_452322_size_85,452322,85,80,0,0,0,0
group_153698_size_4,153698,4,3,0,0,0,0
group_85242_size_7,85242,7,6,0,0,0,0
group_160656_size_2,160656,2,1,0,0,0,0
group_85094_size_7,85094,7,5,0,0,0,0
group_134084_size_2,134084,2,1,0,0,0,0
group_101930_size_4,101930,4,3,0,0,0,0
group_54198_size_2,54198,2,1,0,0,0,0
group_387510_size_2,387510,2,1,0,0,0,0
group_135492_size_2,135492,2,1,0,0,0,0
group_220324_size_3,220324,3,2,0,0,0,0
group_86990_size_2,86990,2,1,0,0,0,0
group_208272_size_5,208272,5,4,0,0,0,0
group_265690_size_4,265690,4,3,0,0,0,0
group_171412_size_2,171412,2,1,0,0,0,0
group_168312_size_2,168312,2,1,0,0,0,0
group_158968_size_3,158968,3,2,0,0,0,0
group_72314_size_3,72314,3,2,0,0,0,0
group_100084_size_2,100084,2,1,0,0,0,0
group_40234_size_6,40234,6,4,0,0,0,0
group_276818_size_412,276818,412,365,0,0,0,0
group_64864_size_7,64864,7,6,0,0,0,0
group_181346_size_28,181346,28,22,0,0,0,0
group_160946_size_240,160946,240,220,0,0,0,0
group_299890_size_311,299890,311,285,0,0,0,0
group_137274_size_427,137274,427,375,0,0,0,0
group_143522_size_2,143522,2,1,0,0,0,0
group_276274_size_404,276274,404,362,0,0,0,0
group_604434_size_48,604434,48,44,0,0,0,0
group_171622_size_6,171622,6,4,0,0,0,0
group_86066_size_249,86066,249,224,0,0,0,0
group_314478_size_17,314478,17,14,0,0,0,0
group_155494_size_3,155494,3,2,0,0,0,0
group_355208_size_4,355208,4,3,0,0,0,0
group_148748_size_4,148748,4,3,0,0,0,0
group_384498_size_133,384498,133,121,0,0,0,0
group_64778_size_5,64778,5,4,0,0,0,0
group_43110_size_2,43110,2,1,0,0,0,0
group_124206_size_2,124206,2,1,0,0,0,0
group_176018_size_415,176018,415,371,0,0,0,0
group_62000_size_2,62000,2,1,0,0,0,0
group_200918_size_2,200918,2,1,0,0,0,0
group_288538_size_2,288538,2,1,0,0,0,0
group_189604_size_2,189604,2,1,0,0,0,0
group_155910_size_3,155910,3,2,0,0,0,0
group_51826_size_20,51826,20,16,0,0,0,0
group_261746_size_377,261746,377,338,0,0,0,0
group_111094_size_4,111094,4,3,0,0,0,0
group_134890_size_2,134890,2,1,0,0,0,0
group_249264_size_3,249264,3,2,0,0,0,0
group_337926_size_2,337926,2,1,0,0,0,0
group_275442_size_298,275442,298,268,0,0,0,0
group_89260_size_14,89260,14,13,0,0,0,0
group_174632_size_709,174632,709,649,0,0,0,0
group_354466_size_9,354466,9,6,0,0,0,0
group_632882_size_43,632882,43,39,0,0,0,0
group_255952_size_4,255952,4,3,0,0,0,0
group_90064_size_2,90064,2,1,0,0,0,0
group_70682_size_3,70682,3,2,0,0,0,0
group_632880_size_4,632880,4,3,0,0,0,0
group_312648_size_14,312648,14,11,0,0,0,0
group_322226_size_254,322226,254,225,0,0,0,0
group_96494_size_2,96494,2,1,0,0,0,0
group_391730_size_212,391730,212,189,0,0,0,0
group_120934_size_2,120934,2,1,0,0,0,0
group_95552_size_6,95552,6,5,0,0,0,0
group_154080_size_2,154080,2,1,0,0,0,0
group_57156_size_3,57156,3,2,0,0,0,0
group_321926_size_2,321926,2,1,0,0,0,0
group_284378_size_2,284378,2,1,0,0,0,0
group_39868_size_1178,39868,1178,980,1,0,0,1
group_398830_size_2,398830,2,1,0,0,0,0
group_102678_size_4,102678,4,3,0,0,0,0
group_70270_size_5,70270,5,4,0,0,0,0
group_53226_size_2,53226,2,1,0,0,0,0
group_145556_size_2,145556,2,1,0,0,0,0
group_78544_size_4,78544,4,3,0,0,0,0
group_212972_size_6,212972,6,5,0,0,0,0
group_150440_size_4,150440,4,3,0,0,0,0
group_82354_size_200,82354,200,171,0,0,0,0
group_320138_size_16,320138,16,14,0,0,0,0
group_67372_size_4,67372,4,3,0,0,0,0
group_56584_size_2,56584,2,1,0,0,0,0
group_621678_size_4,621678,4,3,0,0,0,0
group_238736_size_3,238736,3,2,0,0,0,0
group_60490_size_261,60490,261,233,0,0,0,0
group_283820_size_48,283820,48,43,0,0,0,0
group_50412_size_4,50412,4,2,0,0,0,0
group_68902_size_5,68902,5,4,0,0,0,0
group_260712_size_862,260712,862,779,0,0,0,0
group_55836_size_7,55836,7,5,0,0,0,0
group_375956_size_2,375956,2,1,0,0,0,0
group_111096_size_2,111096,2,1,0,0,0,0
group_286438_size_2,286438,2,1,0,0,0,0
group_226246_size_4,226246,4,3,0,0,0,0
group_202708_size_2,202708,2,1,0,0,0,0
group_223282_size_296,223282,296,263,0,0,0,0
group_63660_size_2,63660,2,1,0,0,0,0
group_98932_size_45,98932,45,41,0,0,0,0
group_262230_size_2,262230,2,1,0,0,0,0
group_127794_size_135,127794,135,124,0,0,0,0
group_55222_size_2,55222,2,1,0,0,0,0
group_114936_size_3,114936,3,2,0,0,0,0
group_258128_size_6,258128,6,4,0,0,0,0
group_85014_size_2,85014,2,1,0,0,0,0
group_251550_size_7,251550,7,5,0,0,0,0
group_83086_size_2,83086,2,1,0,0,0,0
group_85058_size_5,85058,5,4,0,0,0,0
group_122386_size_163,122386,163,143,0,0,0,0
group_44370_size_21,44370,21,16,0,0,0,0
group_207312_size_2,207312,2,1,0,0,0,0
group_548378_size_3,548378,3,2,0,0,0,0
group_264050_size_314,264050,314,271,0,0,0,0
group_391058_size_198,391058,198,175,0,0,0,0
group_389294_size_2,389294,2,1,0,0,0,0
group_217178_size_2,217178,2,1,0,0,0,0
group_283026_size_396,283026,396,351,0,0,0,0
group_299554_size_5,299554,5,4,0,0,0,0
group_86572_size_3,86572,3,2,0,0,0,0
group_99986_size_70,99986,70,60,0,0,0,0
group_161420_size_2,161420,2,1,0,0,0,0
group_224680_size_21,224680,21,17,0,0,0,0
group_477654_size_2,477654,2,1,0,0,0,0
group_92922_size_4,92922,4,3,0,0,0,0
group_61930_size_2,61930,2,1,0,0,0,0
group_356968_size_288,356968,288,254,0,0,0,1
group_116154_size_4,116154,4,3,0,0,0,0
group_172922_size_6,172922,6,5,0,0,0,0
group_82214_size_11,82214,11,9,0,0,0,0
group_482450_size_7,482450,7,5,0,0,0,0
group_38598_size_2,38598,2,1,0,0,0,0
group_149364_size_4,149364,4,3,0,0,0,0
group_71602_size_51,71602,51,46,0,0,0,0
group_231180_size_21,231180,21,17,0,0,0,0
group_347666_size_291,347666,291,259,0,0,0,1
group_47274_size_7,47274,7,6,0,0,0,0
group_417640_size_3,417640,3,2,0,0,0,0
group_257714_size_332,257714,332,298,0,0,0,0
group_187560_size_4,187560,4,3,0,0,0,0
group_111730_size_90,111730,90,77,0,0,0,0
group_339218_size_783,339218,783,710,0,0,0,0
group_142324_size_62,142324,62,55,0,0,0,0
group_430514_size_60,430514,60,50,0,0,0,0
group_271392_size_162,271392,162,141,0,0,0,0
group_216786_size_358,216786,358,328,0,0,0,0
group_242738_size_350,242738,350,313,0,0,0,0
group_104336_size_5,104336,5,4,0,0,0,0
group_269842_size_342,269842,342,303,0,0,0,0
group_627752_size_2,627752,2,1,0,0,0,0
group_89974_size_4,89974,4,3,0,0,0,0
group_552502_size_2,552502,2,1,0,0,0,0
group_280306_size_379,280306,379,343,0,0,0,0
group_110016_size_33,110016,33,26,0,0,0,0
group_93048_size_2,93048,2,1,0,0,0,0
group_53842_size_22,53842,22,18,0,0,0,0
group_368018_size_278,368018,278,250,0,0,0,0
group_186872_size_3,186872,3,2,0,0,0,0
group_105630_size_4,105630,4,3,0,0,0,0
group_323480_size_12,323480,12,10,0,0,0,0
group_88012_size_2,88012,2,1,0,0,0,0
group_272292_size_2,272292,2,1,0,0,0,0
group_168846_size_2,168846,2,1,0,0,0,0
group_416082_size_117,416082,117,102,0,0,0,0
group_321042_size_279,321042,279,252,0,0,0,0
group_146290_size_169,146290,169,140,0,0,0,0
group_170706_size_282,170706,282,248,0,0,0,0
group_58680_size_5,58680,5,3,0,0,0,0
group_140826_size_3,140826,3,2,0,0,0,0
group_279324_size_6,279324,6,5,0,0,0,0
group_41254_size_3,41254,3,2,0,0,0,0
group_321330_size_270,321330,270,237,0,0,0,0
group_245202_size_368,245202,368,330,0,0,0,0
group_542378_size_2,542378,2,1,0,0,0,0
group_229776_size_4,229776,4,3,0,0,0,0
group_257182_size_92,257182,92,83,0,0,0,0
group_531454_size_39,531454,39,33,0,0,0,0
group_59364_size_1010,59364,1010,863,0,0,0,0
group_436104_size_3,436104,3,2,0,0,0,0
group_121816_size_2,121816,2,1,0,0,0,0
group_59050_size_3,59050,3,2,0,0,0,0
group_231688_size_2,231688,2,1,0,0,0,0
group_200626_size_376,200626,376,337,0,0,0,0
group_73652_size_11,73652,11,8,0,0,0,0
group_346142_size_3,346142,3,2,0,0,0,0
group_308114_size_317,308114,317,291,0,0,0,0
group_321118_size_3,321118,3,2,0,0,0,0
group_306224_size_27,306224,27,23,0,0,0,0
group_154142_size_3,154142,3,2,0,0,0,0
group_480402_size_11,480402,11,9,0,0,0,0
group_217206_size_4,217206,4,3,0,0,0,0
group_67558_size_7,67558,7,5,0,0,0,0
group_338452_size_5,338452,5,3,0,0,0,0
group_35572_size_3,35572,3,2,0,0,0,0
group_234450_size_336,234450,336,300,0,0,0,0
group_220356_size_2,220356,2,1,0,0,0,0
group_54356_size_2,54356,2,1,0,0,0,0
group_160764_size_594,160764,594,531,0,0,0,0
group_162482_size_342,162482,342,305,0,0,0,0
group_91568_size_2,91568,2,1,0,0,0,0
group_226912_size_3,226912,3,2,0,0,0,0
group_92154_size_3,92154,3,2,0,0,0,0
group_231640_size_337,231640,337,306,0,0,0,0
group_255154_size_322,255154,322,286,0,0,0,0
group_95118_size_2,95118,2,1,0,0,0,0
group_343730_size_205,343730,205,183,0,0,0,0
group_312928_size_2,312928,2,1,0,0,0,0
group_139990_size_4,139990,4,3,0,0,0,0
group_320536_size_2,320536,2,1,0,0,0,0
group_103366_size_2,103366,2,1,0,0,0,0
group_147452_size_2,147452,2,1,0,0,0,0
group_105560_size_4,105560,4,3,0,0,0,0
group_181050_size_2,181050,2,1,0,0,0,0
group_122542_size_2,122542,2,1,0,0,0,0
group_149302_size_2,149302,2,1,0,0,0,0
group_386130_size_149,386130,149,130,0,0,0,0
group_153188_size_2,153188,2,1,0,0,0,0
group_301746_size_298,301746,298,268,0,0,0,0
group_102196_size_4,102196,4,3,0,0,0,0
group_96316_size_2,96316,2,1,0,0,0,0
group_114400_size_3,114400,3,2,0,0,0,0
group_178706_size_257,178706,257,235,0,0,0,0
group_328958_size_3,328958,3,2,0,0,0,0
group_160498_size_264,160498,264,238,0,0,0,0
group_186054_size_3,186054,3,2,0,0,0,0
group_233498_size_184,233498,184,160,0,0,0,0
group_146796_size_2,146796,2,1,0,0,0,0
group_132968_size_2,132968,2,1,0,0,0,0
group_135076_size_2,135076,2,1,0,0,0,0
group_183700_size_2,183700,2,1,0,0,0,0
group_180524_size_2,180524,2,1,0,0,0,0
group_212546_size_20,212546,20,15,0,0,0,0
group_144650_size_3,144650,3,2,0,0,0,0
group_204050_size_1592,204050,1592,1406,0,0,0,0
group_137618_size_327,137618,327,301,0,0,0,0
group_171090_size_320,171090,320,288,0,0,0,0
group_69874_size_326,69874,326,275,0,0,0,0
group_102222_size_6,102222,6,4,0,0,0,0
group_206498_size_3,206498,3,2,0,0,0,0
group_196718_size_315,196718,315,283,0,0,0,0
group_300326_size_6,300326,6,4,0,0,0,0
group_317010_size_288,317010,288,262,0,0,0,0
group_92008_size_5,92008,5,4,0,0,0,0
group_60364_size_5,60364,5,3,0,0,0,0
group_92058_size_3,92058,3,2,0,0,0,0
group_167770_size_2,167770,2,1,0,0,0,0
group_190760_size_3,190760,3,2,0,0,0,0
group_272562_size_344,272562,344,306,0,0,0,0
group_177328_size_3,177328,3,2,0,0,0,0
group_372612_size_3,372612,3,2,0,0,0,0
group_212156_size_2,212156,2,1,0,0,0,0
group_256380_size_2,256380,2,1,0,0,0,0
group_431142_size_2,431142,2,1,0,0,0,0
group_242314_size_138,242314,138,120,0,0,0,0
group_76264_size_1154,76264,1154,1002,0,0,0,0
group_321080_size_18,321080,18,14,0,0,0,0
group_220486_size_4,220486,4,3,0,0,0,0
group_160274_size_216,160274,216,192,0,0,0,0
group_246384_size_2,246384,2,1,0,0,0,0
group_436338_size_83,436338,83,72,0,0,0,0
group_210886_size_2,210886,2,1,0,0,0,0
group_329298_size_341,329298,341,308,0,0,0,0
group_217394_size_279,217394,279,259,0,0,0,0
group_106122_size_4,106122,4,3,0,0,0,0
group_237900_size_4,237900,4,3,0,0,0,0
group_61234_size_283,61234,283,240,0,0,0,0
group_88416_size_2,88416,2,1,0,0,0,0
group_93936_size_7,93936,7,4,0,0,0,0
group_328276_size_2,328276,2,1,0,0,0,0
group_78724_size_2,78724,2,1,0,0,0,0
group_92412_size_5,92412,5,3,0,0,0,0
group_294186_size_4,294186,4,3,0,0,0,0
group_265466_size_6,265466,6,5,0,0,0,0
group_135438_size_3,135438,3,2,0,0,0,0
group_267452_size_2,267452,2,1,0,0,0,0
group_89104_size_2,89104,2,1,0,0,0,0
group_103234_size_2,103234,2,1,0,0,0,0
group_151326_size_2,151326,2,1,0,0,0,0
group_197036_size_61,197036,61,56,0,0,0,0
group_261072_size_13,261072,13,9,0,0,0,0
group_207778_size_2,207778,2,1,0,0,0,0
group_301058_size_6,301058,6,5,0,0,0,0
group_71128_size_3,71128,3,2,0,0,0,0
group_440498_size_65,440498,65,59,0,0,0,0
group_314706_size_309,314706,309,269,0,0,0,0
group_387698_size_148,387698,148,133,0,0,0,0
group_363730_size_182,363730,182,166,0,0,0,0
group_190636_size_2,190636,2,1,0,0,0,0
group_37860_size_2,37860,2,1,0,0,0,0
group_39504_size_4,39504,4,2,0,0,0,0
group_444930_size_2,444930,2,1,0,0,0,0
group_72388_size_3,72388,3,2,0,0,0,0
group_129308_size_4,129308,4,3,0,0,0,0
group_48746_size_34,48746,34,28,0,0,0,0
group_128460_size_2,128460,2,1,0,0,0,0
group_449220_size_2,449220,2,1,0,0,0,0
group_415666_size_120,415666,120,103,0,0,0,0
group_183048_size_2,183048,2,1,0,0,0,0
group_113192_size_2,113192,2,1,0,0,0,0
group_261982_size_3,261982,3,2,0,0,0,0
group_138022_size_2,138022,2,1,0,0,0,0
group_625116_size_3,625116,3,2,0,0,0,0
group_179318_size_4,179318,4,3,0,0,0,0
group_193064_size_2,193064,2,1,0,0,0,0
group_200314_size_3,200314,3,2,0,0,0,0
